person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm
TOMER,13.3,20,2,20,[-404.82742767]
TOMER,13.3,100,95,31,[-403.80718794]
TOMER,13.3,9,8,5,[-419.92588161]
TOMER,13.3,35,34,5,[-396.45713109]
TOMER,13.3,48,38,29,[-396.53660166]
TOMER,13.3,20,9,18,[-401.89832982]
TOMER,13.3,49,49,3,[-399.24344131]
